sex,birth,family,education,job,rich,religion,voting,politics,x,y,location
Чоловіча,1984,У шлюбі,Повна вища освіта,IT-сфера,25 000 - 50 000,Православ'я,Блок Петра Порошенка,Трохи цікавлюсь,-0.08,-0.1,Rivne
Чоловіча,1984,У шлюбі,Повна вища освіта,IT-сфера,25 000 - 50 000,Православ'я,Складно відповісти,Трохи цікавлюсь,0.55,0.03,not_defined
Чоловіча,3/16/1988,У шлюбі,Повна вища освіта,IT-сфера,25 000 - 50 000,Православ'я,Блок Петра Порошенка,Трохи цікавлюсь,0.03,0.35,Kyiv
Чоловіча,1987,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",25 000 - 50 000,Православ'я,Самопоміч,Цікавлюсь,-0.18,-0.45,Kyiv
Жіноча,1989,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",3 000 - 6 000,Православ'я,Народний Фронт,Дуже цікавлюсь,-0.30,0.13,Kyiv
Чоловіча,1989,У шлюбі,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",3 000 - 6 000,Не маю релігійної приналежності,Самопоміч,Цікавлюсь,0.33,-0.68,Rivne
Чоловіча,1983,У шлюбі,Повна вища освіта,Управлінський персонал,< 3 000,Православ'я,Блок Петра Порошенка,Трохи цікавлюсь,-0.15,0.25,Kyiv
Чоловіча,1972,Неодружений/незаміжня,Повна вища освіта,Інше,< 3 000,Не маю релігійної приналежності,Свобода,Трохи цікавлюсь,-0.13,-0.4,Kyiv
Чоловіча,1984,У шлюбі,Повна вища освіта,"Торгівля, транспорт і логістика",3 000 - 6 000,Православ'я,Інша партія,Трохи цікавлюсь,-0.30,-0.18,Kyiv
Жіноча,1968,У розлученні,Повна вища освіта,Охорона здоров'я,6 000 - 10 000,Православ'я,Самопоміч,Цікавлюсь,-0.03,-0.58,Kyiv
Чоловіча,1972,У шлюбі,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Протестантизм,Блок Петра Порошенка,Цікавлюсь,-0.03,0.03,Kyiv
Жіноча,1985,Неодружений/незаміжня,Повна вища освіта,Інше,6 000 - 10 000,Православ'я,Свобода,,-0.18,0.28,not_defined
Чоловіча,1991,Неодружений/незаміжня,Повна вища освіта,Наука та дослідження,< 3 000,Православ'я,Самопоміч,Дуже цікавлюсь,-0.23,-0.18,Lviv
Чоловіча,1981,У шлюбі,Кандидат/доктор наук,Управлінський персонал,6 000 - 10 000,Православ'я,Блок Петра Порошенка,Трохи цікавлюсь,0.25,-0.48,Kyiv
Чоловіча,1978,У шлюбі,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",3 000 - 6 000,Православ'я,Блок Петра Порошенка,Дуже цікавлюсь,-0.20,-0.03,Kyiv
Чоловіча,1979,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",15 000 - 25 000,Інше,Я не голосував,Цікавлюсь,0.10,-0.53,Kyiv
Чоловіча,1963,У розлученні,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Не маю релігійної приналежності,Складно відповісти,Дуже цікавлюсь,0.38,-0.78,Kyiv
Жіноча,1979,У розлученні,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",10 000 - 15 000,Православ'я,Блок Петра Порошенка,Дуже цікавлюсь,-0.25,-0.35,not_defined
Чоловіча,1994,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",3 000 - 6 000,Не маю релігійної приналежності,Інша партія,Дуже цікавлюсь,0.68,-0.63,Odessa
Жіноча,1954,У шлюбі,Повна вища освіта,Наука та дослідження,3 000 - 6 000,Не маю релігійної приналежності,Самопоміч,Цікавлюсь,-0.35,-0.4,not_defined
Чоловіча,1992,Неодружений/незаміжня,Повна вища освіта,"Бізнес, фінанси та управління",10 000 - 15 000,Не маю релігійної приналежності,Блок Петра Порошенка,Трохи цікавлюсь,0.03,-0.45,Kyiv
Чоловіча,,У шлюбі,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Православ'я,Радикальна партія Олега Ляшка,Цікавлюсь,0.15,0,Kyiv
Чоловіча,1981,Інше,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",10 000 - 15 000,Не маю релігійної приналежності,Самопоміч,Цікавлюсь,0.25,-0.8,Kyiv
Жіноча,,Неодружений/незаміжня,Повна вища освіта,Виробництво,3 000 - 6 000,Православ'я,Складно відповісти,Цікавлюсь,-0.15,-0.23,not_defined
Чоловіча,1983,У шлюбі,Повна вища освіта,IT-сфера,10 000 - 15 000,Православ'я,Самопоміч,Трохи цікавлюсь,-0.10,0.1,Kyiv
Жіноча,1956,У розлученні,Повна вища освіта,Наука та дослідження,3 000 - 6 000,Не маю релігійної приналежності,Самопоміч,Цікавлюсь,-0.13,-0.53,Kyiv
Жіноча,1980,Неодружений/незаміжня,Кандидат/доктор наук,Наука та дослідження,3 000 - 6 000,Православ'я,,Дуже цікавлюсь,-0.40,-0.03,Kyiv
Чоловіча,1955,У шлюбі,Повна вища освіта,На пенсії,3 000 - 6 000,Не маю релігійної приналежності,Народний Фронт,Цікавлюсь,0.28,-0.65,not_defined
Жіноча,1961,У розлученні,Повна вища освіта,"Торгівля, транспорт і логістика",10 000 - 15 000,Православ'я,Блок Петра Порошенка,Трохи цікавлюсь,-0.23,-0.08,not_defined
Чоловіча,1989,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Не маю релігійної приналежності,Блок Петра Порошенка,Цікавлюсь,0.53,-0.43,Dnipropetrovsk
Чоловіча,1984,Неодружений/незаміжня,Повна вища освіта,"Торгівля, транспорт і логістика",25 000 - 50 000,Православ'я,Самопоміч,Трохи цікавлюсь,-0.35,-0.2,Kyiv
Чоловіча,1984,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Православ'я,Я не голосував,Трохи цікавлюсь,-0.08,-0.08,Kyiv
Чоловіча,1983,У шлюбі,Повна вища освіта,Управлінський персонал,3 000 - 6 000,Не маю релігійної приналежності,Самопоміч,Цікавлюсь,-0.08,-0.55,Kyiv
Чоловіча,1978,У шлюбі,Повна вища освіта,IT-сфера,3 000 - 6 000,Не маю релігійної приналежності,Інша партія,Дуже цікавлюсь,-0.18,-0.43,Kyiv
Чоловіча,1972,У шлюбі,Повна вища освіта,Управлінський персонал,3 000 - 6 000,Інше,Інша партія,Цікавлюсь,-0.10,-0.15,Kyiv
Чоловіча,,У шлюбі,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Не маю релігійної приналежності,Складно відповісти,Цікавлюсь,-0.28,-0.15,Kyiv
Чоловіча,1986,Інше,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",< 3 000,Інше,Радикальна партія Олега Ляшка,Цікавлюсь,0.20,-0.78,not_defined
Жіноча,1986,Інше,Повна вища освіта,Інше,3 000 - 6 000,Не маю релігійної приналежності,Складно відповісти,Трохи цікавлюсь,-0.08,-0.48,not_defined
Жіноча,1960,У шлюбі,Повна вища освіта,Управлінський персонал,3 000 - 6 000,Православ'я,Батьківщина,Цікавлюсь,-0.25,-0.3,not_defined
Чоловіча,1986,Неодружений/незаміжня,Повна вища освіта,Управлінський персонал,25 000 - 50 000,Православ'я,Батьківщина,Цікавлюсь,-0.33,0.25,Kyiv
Чоловіча,1977,Неодружений/незаміжня,Повна вища освіта,IT-сфера,3 000 - 6 000,Інше,Я не голосував,Трохи цікавлюсь,-0.05,-0.13,Sumy
Чоловіча,1981,У шлюбі,Повна вища освіта,Продажі та послуги,3 000 - 6 000,Православ'я,Інша партія,Цікавлюсь,-0.10,-0.48,Rivne
Чоловіча,1989,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",3 000 - 6 000,Не маю релігійної приналежності,Самопоміч,Цікавлюсь,-0.28,0.03,not_defined
Чоловіча,1983,Неодружений/незаміжня,Повна вища освіта,"Торгівля, транспорт і логістика",6 000 - 10 000,Православ'я,Інша партія,Дуже цікавлюсь,-0.23,-0.05,not_defined
Жіноча,1980,Неодружений/незаміжня,Повна вища освіта,Охорона здоров'я,10 000 - 15 000,Православ'я,Свобода,Цікавлюсь,-0.50,-0.28,not_defined
Жіноча,,Неодружений/незаміжня,Кандидат/доктор наук,Наука та дослідження,10 000 - 15 000,Протестантизм,Блок Петра Порошенка,Цікавлюсь,-0.03,0.25,Kyiv
Чоловіча,1993,Неодружений/незаміжня,Неповна вища освіта,Наука та дослідження,3 000 - 6 000,,Я не голосував,Трохи цікавлюсь,0.03,-0.38,Kyiv
Жіноча,,У шлюбі,Кандидат/доктор наук,Наука та дослідження,6 000 - 10 000,Православ'я,Блок Петра Порошенка,Цікавлюсь,-0.38,-0.03,not_defined
Чоловіча,1991,Інше,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Не маю релігійної приналежності,Інша партія,Цікавлюсь,-0.13,-0.13,Kyiv
Жіноча,,У шлюбі,Кандидат/доктор наук,"Бізнес, фінанси та управління",10 000 - 15 000,Не маю релігійної приналежності,Народний Фронт,Цікавлюсь,-0.05,-0.45,Kyiv
Чоловіча,,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",25 000 - 50 000,Не маю релігійної приналежності,Блок Петра Порошенка,Трохи цікавлюсь,0.03,0.03,Kyiv
Чоловіча,1972,У шлюбі,Повна вища освіта,IT-сфера,6 000 - 10 000,Православ'я,Я не голосував,Дуже цікавлюсь,0.30,-0.5,Vinnytsia
Чоловіча,1985,Неодружений/незаміжня,Повна вища освіта,"Бізнес, фінанси та управління",25 000 - 50 000,Не маю релігійної приналежності,Самопоміч,Цікавлюсь,-0.15,-0.23,Kyiv
Чоловіча,1975,,,На пенсії,,,,,-0.25,-0.23,Ivano-Frankivsk
Чоловіча,1976,У шлюбі,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Інше,Свобода,Дуже цікавлюсь,0.30,0.38,Kyiv
Чоловіча,,У шлюбі,Кандидат/доктор наук,Наука та дослідження,25 000 - 50 000,Православ'я,Самопоміч,Дуже цікавлюсь,0.15,-0.73,Kyiv
Жіноча,1973,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",6 000 - 10 000,Православ'я,Опозиційний блок,Трохи цікавлюсь,-0.13,0,not_defined
Жіноча,1976,У розлученні,Повна вища освіта,Управлінський персонал,15 000 - 25 000,Православ'я,Блок Петра Порошенка,Цікавлюсь,0.03,-0.03,Kyiv
Жіноча,1988,Неодружений/незаміжня,Повна вища освіта,Інше,10 000 - 15 000,Православ'я,Я не голосував,Трохи цікавлюсь,-0.33,-0.33,not_defined
,,,,На пенсії,,,,,-0.23,-0.2,Khmelnytsky
Жіноча,1993,Неодружений/незаміжня,Повна вища освіта,Студент,< 3 000,Православ'я,Я не голосував,Дуже цікавлюсь,0.10,-0.33,Kharkiv
Чоловіча,1988,У шлюбі,Повна вища освіта,Виробництво,10 000 - 15 000,Католицизм,Складно відповісти,Цікавлюсь,0.13,-0.13,Ivano-Frankivsk
Чоловіча,1984,У шлюбі,Повна вища освіта,Управлінський персонал,6 000 - 10 000,Православ'я,Блок Петра Порошенка,Цікавлюсь,-0.05,-0.2,Rivne
Чоловіча,1983,У шлюбі,Неповна вища освіта,Виробництво,15 000 - 25 000,Католицизм,Інша партія,Дуже цікавлюсь,0.03,0.45,Ivano-Frankivsk
Жіноча,1987,У шлюбі,Повна вища освіта,Домогосподарка,< 3 000,Не маю релігійної приналежності,Інша партія,Дуже цікавлюсь,0.25,-0.5,Poltava
Жіноча,1990,Інше,Повна вища освіта,"Мистецтво, культура, відпочинок і спорт",6 000 - 10 000,Не маю релігійної приналежності,Народний Фронт,Трохи цікавлюсь,0.23,-0.68,Lugansk
Чоловіча,1983,У шлюбі,Неповна вища освіта,Сільське господарство,10 000 - 15 000,Католицизм,Інша партія,Дуже цікавлюсь,0.00,0.43,Ivano-Frankivsk
Чоловіча,1985,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Іслам,Я не голосував,Цікавлюсь,-0.25,0.28,Dnipropetrovsk
Жіноча,1987,Неодружений/незаміжня,Повна вища освіта,Студент,< 3 000,Православ'я,,Дуже цікавлюсь,-0.35,-0.83,not_defined
Чоловіча,1987,Неодружений/незаміжня,Неповна вища освіта,IT-сфера,3 000 - 6 000,Католицизм,Самопоміч,Цікавлюсь,0.23,-0.45,Lviv
Чоловіча,1989,У шлюбі,Повна вища освіта,IT-сфера,> 50 000,Не маю релігійної приналежності,Народний Фронт,Дуже цікавлюсь,-0.05,-0.4,Kyiv
Жіноча,1994,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",> 50 000,Православ'я,Інша партія,Цікавлюсь,-0.03,-0.28,outside_ukraine
Жіноча,1980,У шлюбі,Повна вища освіта,Інше,25 000 - 50 000,Не маю релігійної приналежності,Блок Петра Порошенка,Трохи цікавлюсь,-0.20,-0.25,outside_ukraine
Жіноча,1981,У шлюбі,Повна вища освіта,На пенсії,6 000 - 10 000,Не маю релігійної приналежності,Я не голосував,Трохи цікавлюсь,-0.28,-0.15,not_defined
Жіноча,1977,У шлюбі,Повна вища освіта,На пенсії,> 50 000,Іудаїзм,Я не голосував,Цікавлюсь,-0.20,-0.6,outside_ukraine
Жіноча,1992,У шлюбі,Повна вища освіта,Продажі та послуги,25 000 - 50 000,Не маю релігійної приналежності,Я не голосував,Цікавлюсь,0.05,-0.33,outside_ukraine
Жіноча,1989,Неодружений/незаміжня,Повна вища освіта,"Бізнес, фінанси та управління",15 000 - 25 000,Не маю релігійної приналежності,Складно відповісти,Трохи цікавлюсь,0.00,-0.68,Kyiv
Жіноча,1984,У шлюбі,Кандидат/доктор наук,Наука та дослідження,3 000 - 6 000,Не маю релігійної приналежності,Я не голосував,Дуже цікавлюсь,-0.75,-0.4,not_defined
Чоловіча,1974,У шлюбі,Повна вища освіта,На пенсії,> 50 000,Православ'я,Я не голосував,Цікавлюсь,0.18,-0.45,outside_ukraine
Чоловіча,1980,У шлюбі,Кандидат/доктор наук,Інше,> 50 000,Інше,Народний Фронт,Дуже цікавлюсь,0.03,-0.43,not_defined
Чоловіча,1980,Неодружений/незаміжня,Повна вища освіта,IT-сфера,> 50 000,Не маю релігійної приналежності,Інша партія,Цікавлюсь,0.18,-0.75,outside_ukraine
Чоловіча,1991,У шлюбі,Середня освіта,"Мистецтво, культура, відпочинок і спорт",6 000 - 10 000,Не маю релігійної приналежності,Я не голосував,Дуже цікавлюсь,0.65,-0.3,outside_ukraine
Чоловіча,1978,У розлученні,Неповна вища освіта,IT-сфера,3 000 - 6 000,Не маю релігійної приналежності,Я не голосував,Цікавлюсь,-0.20,0.25,Crimea
Жіноча,1959,У розлученні,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",3 000 - 6 000,Не маю релігійної приналежності,Інша партія,Дуже цікавлюсь,-0.18,-0.25,Odessa
Чоловіча,1968,Неодружений/незаміжня,Повна вища освіта,Інше,3 000 - 6 000,Православ'я,Блок Петра Порошенка,Трохи цікавлюсь,0.08,-0.25,Odessa
Чоловіча,,У шлюбі,Середня освіта,Інше,3 000 - 6 000,Буддизм,Складно відповісти,Дуже цікавлюсь,-0.48,0.1,not_defined
Чоловіча,1976,У шлюбі,Повна вища освіта,Безробітний,< 3 000,Православ'я,Інша партія,Цікавлюсь,-0.08,-0.35,not_defined
Чоловіча,1982,Неодружений/незаміжня,Повна вища освіта,Інше,3 000 - 6 000,Православ'я,Інша партія,Дуже цікавлюсь,-0.18,-0.23,Odessa
Жіноча,1980,У шлюбі,Кандидат/доктор наук,Наука та дослідження,> 50 000,Православ'я,Блок Петра Порошенка,Цікавлюсь,-0.53,-0.58,outside_ukraine
Жіноча,1997,Неодружений/незаміжня,Середня освіта,Студент,< 3 000,Інше,Я не голосував,Цікавлюсь,-0.35,-0.6,Kyiv
Чоловіча,1990,У шлюбі,Повна вища освіта,"Мистецтво, культура, відпочинок і спорт",6 000 - 10 000,Не маю релігійної приналежності,Блок Петра Порошенка,Трохи цікавлюсь,-0.05,-0.88,Kyiv
Чоловіча,1989,У шлюбі,Неповна вища освіта,Наука та дослідження,< 3 000,Іслам,Я не голосував,Дуже цікавлюсь,0.23,0.35,Crimea
Чоловіча,1979,У шлюбі,Повна вища освіта,Виробництво,3 000 - 6 000,Православ'я,Свобода,Дуже цікавлюсь,-0.40,0.2,Volyn
Чоловіча,1985,У шлюбі,,"Освіта, юриспруденція, громадські та державні послуги",3 000 - 6 000,Не маю релігійної приналежності,Блок Петра Порошенка,Цікавлюсь,0.50,-0.7,Volyn
Чоловіча,1992,Неодружений/незаміжня,Повна вища освіта,Інше,10 000 - 15 000,Католицизм,Свобода,Дуже цікавлюсь,0.23,-0.08,not_defined
Жіноча,1996,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Православ'я,Самопоміч,Трохи цікавлюсь,-0.30,-0.45,Volyn
Чоловіча,1981,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",15 000 - 25 000,Православ'я,Самопоміч,Дуже цікавлюсь,0.40,-0.35,Zakarpattia
Чоловіча,1993,Неодружений/незаміжня,Повна вища освіта,IT-сфера,10 000 - 15 000,Православ'я,Самопоміч,Цікавлюсь,-0.10,-0.08,Ivano-Frankivsk
Чоловіча,,Неодружений/незаміжня,Кандидат/доктор наук,"Бізнес, фінанси та управління",6 000 - 10 000,Інше,Інша партія,Дуже цікавлюсь,0.23,-0.7,Zakarpattia
Жіноча,1991,Неодружений/незаміжня,Повна вища освіта,Безробітний,< 3 000,Православ'я,Самопоміч,Цікавлюсь,-0.33,-0.03,Zakarpattia
Жіноча,1985,У шлюбі,Кандидат/доктор наук,"Освіта, юриспруденція, громадські та державні послуги",3 000 - 6 000,Православ'я,Я не голосував,Трохи цікавлюсь,-0.13,0.58,Kherson
Чоловіча,,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Православ'я,Народний Фронт,Дуже цікавлюсь,0.33,-0.38,not_defined
Жіноча,1995,Інше,Неповна вища освіта,Студент,3 000 - 6 000,Православ'я,Блок Петра Порошенка,Цікавлюсь,-0.13,-0.13,Kyiv
,,,,На пенсії,,,,,0.70,-0.9,not_defined
Чоловіча,1997,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Православ'я,Я не голосував,Цікавлюсь,-0.20,-0.28,not_defined
Жіноча,1995,Неодружений/незаміжня,Неповна вища освіта,Виробництво,3 000 - 6 000,Інше,Складно відповісти,Трохи цікавлюсь,-0.28,0.18,not_defined
Жіноча,1963,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",15 000 - 25 000,Православ'я,Складно відповісти,Трохи цікавлюсь,-0.38,-0.13,Mykolaiv
Жіноча,1989,Неодружений/незаміжня,Повна вища освіта,"Мистецтво, культура, відпочинок і спорт",< 3 000,Не маю релігійної приналежності,Складно відповісти,Цікавлюсь,-0.15,-0.45,Dnipropetrovsk
Чоловіча,1970,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",15 000 - 25 000,Інше,Свобода,Трохи цікавлюсь,0.00,0.35,Khmelnytsky
Жіноча,,У шлюбі,Повна вища освіта,На пенсії,< 3 000,Православ'я,Інша партія,Зовсім не цікавлюсь,-0.38,-0.23,not_defined
Чоловіча,1973,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",6 000 - 10 000,Православ'я,Блок Петра Порошенка,Цікавлюсь,-0.23,-0.15,Khmelnytsky
Жіноча,1987,Неодружений/незаміжня,Неповна вища освіта,Інше,< 3 000,Протестантизм,Блок Петра Порошенка,Цікавлюсь,-0.05,-0.05,Zhytomyr
Жіноча,1988,Неодружений/незаміжня,Повна вища освіта,Інше,3 000 - 6 000,Інше,Самопоміч,Дуже цікавлюсь,-0.38,-0.55,not_defined
Чоловіча,1995,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Православ'я,Інша партія,Цікавлюсь,0.40,-0.1,Zhytomyr
Чоловіча,1987,У шлюбі,Повна вища освіта,Продажі та послуги,15 000 - 25 000,Православ'я,Блок Петра Порошенка,Трохи цікавлюсь,-0.03,-0.38,Zhytomyr
,,,,На пенсії,,,,,-0.53,-0.88,Zhytomyr
Жіноча,1994,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Не маю релігійної приналежності,Блок Петра Порошенка,Дуже цікавлюсь,-0.18,-0.08,Kyiv
Чоловіча,1980,У шлюбі,Повна вища освіта,IT-сфера,6 000 - 10 000,Не маю релігійної приналежності,Самопоміч,Дуже цікавлюсь,0.15,-0.35,Kyiv
Чоловіча,1977,У шлюбі,Кандидат/доктор наук,IT-сфера,15 000 - 25 000,Православ'я,Інша партія,Цікавлюсь,0.33,-0.5,Donetsk
Чоловіча,1985,У шлюбі,Повна вища освіта,IT-сфера,25 000 - 50 000,Католицизм,Народний Фронт,Дуже цікавлюсь,0.05,-0.78,not_defined
Чоловіча,1973,У шлюбі,Повна вища освіта,IT-сфера,10 000 - 15 000,Православ'я,Самопоміч,Цікавлюсь,-0.03,-0.43,Kyiv
Чоловіча,1989,Неодружений/незаміжня,Повна вища освіта,"Торгівля, транспорт і логістика",< 3 000,Не маю релігійної приналежності,Самопоміч,Цікавлюсь,0.10,-0.55,Lviv
Жіноча,1995,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",< 3 000,Католицизм,Свобода,Дуже цікавлюсь,-0.15,0.08,Lviv
Жіноча,,Неодружений/незаміжня,Повна вища освіта,На пенсії,,Католицизм,,,-0.20,0.08,Lviv
Чоловіча,1993,Неодружений/незаміжня,Повна вища освіта,Продажі та послуги,3 000 - 6 000,Не маю релігійної приналежності,Самопоміч,Трохи цікавлюсь,-0.28,-0.8,Lviv
Жіноча,1992,Неодружений/незаміжня,Повна вища освіта,"Бізнес, фінанси та управління",3 000 - 6 000,Католицизм,Складно відповісти,Трохи цікавлюсь,-0.15,-0.3,Lviv
,1976,У розлученні,Кандидат/доктор наук,Наука та дослідження,3 000 - 6 000,Католицизм,Народний Фронт,Цікавлюсь,-0.33,-0.5,not_defined
Жіноча,1987,У шлюбі,Повна вища освіта,Домогосподарка,< 3 000,Католицизм,Самопоміч,Трохи цікавлюсь,-0.30,-0.3,not_defined
Жіноча,1984,У шлюбі,Повна вища освіта,Продажі та послуги,15 000 - 25 000,Католицизм,Народний Фронт,Дуже цікавлюсь,-0.40,0.23,not_defined
Чоловіча,1995,Неодружений/незаміжня,Інше,Студент,< 3 000,Католицизм,Самопоміч,Трохи цікавлюсь,0.00,-0.05,not_defined
Чоловіча,1999,Неодружений/незаміжня,Середня освіта,Студент,,Не маю релігійної приналежності,Я не голосував,Цікавлюсь,-0.05,-0.43,Lviv
Чоловіча,1972,У шлюбі,Повна вища освіта,"Торгівля, транспорт і логістика",6 000 - 10 000,Православ'я,Я не голосував,Трохи цікавлюсь,0.15,-0.4,Lviv
Жіноча,1988,Неодружений/незаміжня,Повна вища освіта,Наука та дослідження,< 3 000,Інше,Самопоміч,Трохи цікавлюсь,-0.05,-0.45,Lviv
Жіноча,,Неодружений/незаміжня,Неповна вища освіта,На пенсії,,,,,-0.28,-0.38,Lviv
Жіноча,,У розлученні,Повна вища освіта,"Бізнес, фінанси та управління",6 000 - 10 000,Православ'я,Інша партія,Цікавлюсь,-0.03,-0.08,Lviv
Чоловіча,,,,На пенсії,,,,,0.00,0.4,Lviv
Чоловіча,1984,У шлюбі,Повна вища освіта,IT-сфера,> 50 000,Католицизм,Самопоміч,Дуже цікавлюсь,-0.03,-0.4,Lviv
Жіноча,1983,У шлюбі,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",10 000 - 15 000,Католицизм,Самопоміч,Дуже цікавлюсь,-0.15,-0.23,Lviv
Чоловіча,1981,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",> 50 000,Православ'я,Я не голосував,Дуже цікавлюсь,0.13,-0.5,not_defined
Жіноча,1984,Неодружений/незаміжня,Повна вища освіта,Наука та дослідження,25 000 - 50 000,Не маю релігійної приналежності,Самопоміч,Цікавлюсь,0.10,-0.48,not_defined
Чоловіча,5/30/1989,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Не маю релігійної приналежності,Блок Петра Порошенка,Дуже цікавлюсь,0.15,-0.45,Kyiv
Чоловіча,1984,У шлюбі,Повна вища освіта,IT-сфера,> 50 000,Не маю релігійної приналежності,Самопоміч,Дуже цікавлюсь,0.08,-0.05,Kyiv
Чоловіча,1988,Неодружений/незаміжня,Повна вища освіта,"Бізнес, фінанси та управління",10 000 - 15 000,Не маю релігійної приналежності,Інша партія,Цікавлюсь,0.30,-0.65,Kyiv
Чоловіча,1986,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",15 000 - 25 000,Не маю релігійної приналежності,Блок Петра Порошенка,Цікавлюсь,-0.05,-0.25,Kyiv
Чоловіча,,Неодружений/незаміжня,Неповна вища освіта,Безробітний,< 3 000,Не маю релігійної приналежності,Я не голосував,Трохи цікавлюсь,-0.48,-0.48,not_defined
Чоловіча,1982,У шлюбі,Повна вища освіта,Продажі та послуги,6 000 - 10 000,Буддизм,Інша партія,Цікавлюсь,-0.13,-0.08,Kyiv
Чоловіча,1987,Неодружений/незаміжня,Повна вища освіта,Продажі та послуги,6 000 - 10 000,Не маю релігійної приналежності,Самопоміч,Цікавлюсь,0.08,-0.03,Kyiv
Чоловіча,1975,У шлюбі,Повна вища освіта,IT-сфера,25 000 - 50 000,Не маю релігійної приналежності,Інша партія,Дуже цікавлюсь,0.73,-0.43,Kyiv
Жіноча,1983,У шлюбі,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Православ'я,Інша партія,Цікавлюсь,0.05,-0.33,Kyiv
Чоловіча,1975,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",10 000 - 15 000,Православ'я,Складно відповісти,Цікавлюсь,0.25,-0.3,Kyiv
Чоловіча,1994,Неодружений/незаміжня,Середня освіта,Студент,< 3 000,Православ'я,Самопоміч,Цікавлюсь,0.13,-0.63,Kyiv
Чоловіча,1987,У шлюбі,Кандидат/доктор наук,Наука та дослідження,3 000 - 6 000,Не маю релігійної приналежності,Складно відповісти,Цікавлюсь,-0.10,-0.25,not_defined
Чоловіча,,У розлученні,Повна вища освіта,Інше,10 000 - 15 000,Не маю релігійної приналежності,Свобода,Дуже цікавлюсь,-0.18,-0.18,not_defined
Чоловіча,1982,У шлюбі,Повна вища освіта,"Торгівля, транспорт і логістика",15 000 - 25 000,Православ'я,Самопоміч,Цікавлюсь,-0.10,-0.05,Kyiv
Чоловіча,1973,У шлюбі,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",25 000 - 50 000,Православ'я,Я не голосував,Цікавлюсь,-0.08,-0.48,Kyiv
Жіноча,1994,Неодружений/незаміжня,Неповна вища освіта,Наука та дослідження,3 000 - 6 000,Православ'я,Блок Петра Порошенка,Цікавлюсь,-0.05,-0.43,Kyiv
Жіноча,,Інше,Інше,Студент,,,,,-0.20,-0.38,not_defined
Чоловіча,1975,У шлюбі,Повна вища освіта,Управлінський персонал,> 50 000,Православ'я,Самопоміч,Трохи цікавлюсь,-0.03,-0.1,not_defined
Жіноча,1989,Неодружений/незаміжня,Повна вища освіта,"Мистецтво, культура, відпочинок і спорт",6 000 - 10 000,Православ'я,Я не голосував,Зовсім не цікавлюсь,-0.18,-0.33,not_defined
